sample,fastq_1,fastq_2
CSU19101,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU19101_S7_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU19101_S7_L001_R2_001.fastq.gz
CSU18484,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18484_S67_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18484_S67_L001_R2_001.fastq.gz
CSU18918,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18918_S16_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18918_S16_L001_R2_001.fastq.gz
CSU18321,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18321_S88_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18321_S88_L001_R2_001.fastq.gz
CSU18830,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18830_S37_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18830_S37_L001_R2_001.fastq.gz
CSU19890,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU19890_S43_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU19890_S43_L001_R2_001.fastq.gz
CSU20170,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU20170_S84_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU20170_S84_L001_R2_001.fastq.gz
CSU19115,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU19115_S5_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU19115_S5_L001_R2_001.fastq.gz
CSU18522,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18522_S74_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18522_S74_L001_R2_001.fastq.gz
CSU18428,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18428_S81_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18428_S81_L001_R2_001.fastq.gz
CSU19758,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU19758_S9_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU19758_S9_L001_R2_001.fastq.gz
CSU18529,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18529_S75_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18529_S75_L001_R2_001.fastq.gz
CSU18312,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18312_S89_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18312_S89_L001_R2_001.fastq.gz
CSU18826,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18826_S41_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18826_S41_L001_R2_001.fastq.gz
nfH20,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/nfH20_S96_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/nfH20_S96_L001_R2_001.fastq.gz
CSU18399,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18399_S86_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18399_S86_L001_R2_001.fastq.gz
CSU18771,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18771_S45_L001_R1_001.fastq.gz,/projects/rtk24@colostate.edu/proj_bioinformatics/0_RAW_READS/wnv-s_22-23_R1.1__2530EBE__requeue/CSU18771_S45_L001_R2_001.fastq.gz
